Episode 84	Step 99094	Time 1625.31	Epsilon 0.08	Reward 1297.0
Episode 85	Step 99232	Time 1629.37	Epsilon 0.08	Reward 660.0
Episode 86	Step 99429	Time 1632.29	Epsilon 0.08	Reward 1029.0
Episode 87	Step 100666	Time 1650.78	Epsilon 0.08	Reward 2666.0
Episode 88	Step 103552	Time 1701.20	Epsilon 0.08	Reward 2045.0
Episode 89	Step 104281	Time 1712.82	Epsilon 0.07	Reward 2699.0
Episode 90	Step 104883	Time 1721.85	Epsilon 0.07	Reward 2413.0
Episode 91	Step 105086	Time 1724.97	Epsilon 0.07	Reward 1057.0
Episode 92	Step 105467	Time 1730.88	Epsilon 0.07	Reward 1602.0
Episode 93	Step 105806	Time 1739.29	Epsilon 0.07	Reward 1890.0
Episode 94	Step 106698	Time 1752.96	Epsilon 0.07	Reward 1329.0
Episode 95	Step 107017	Time 1757.80	Epsilon 0.07	Reward 1453.0
Episode 96	Step 107643	Time 1770.16	Epsilon 0.07	Reward 1370.0
Episode 97	Step 108465	Time 1783.01	Epsilon 0.07	Reward 1955.0
Episode 98	Step 108704	Time 1786.66	Epsilon 0.07	Reward 1457.0
Episode 99	Step 109786	Time 1806.12	Epsilon 0.06	Reward 2100.0
Episode 100	Step 110262	Time 1813.67	Epsilon 0.06	Reward 1627.0
Episode 101	Step 110379	Time 1815.51	Epsilon 0.06	Reward 688.0
Episode 102	Step 111117	Time 1826.67	Epsilon 0.06	Reward 1351.0
Episode 103	Step 111716	Time 1835.83	Epsilon 0.06	Reward 1921.0
Episode 104	Step 111883	Time 1841.58	Epsilon 0.06	Reward 1106.0
Episode 105	Step 112203	Time 1846.59	Epsilon 0.06	Reward 1271.0
Episode 106	Step 112567	Time 1852.07	Epsilon 0.06	Reward 1499.0
Episode 107	Step 112980	Time 1858.43	Epsilon 0.06	Reward 1851.0
Episode 108	Step 113218	Time 1862.12	Epsilon 0.06	Reward 1103.0
Episode 109	Step 113547	Time 1867.12	Epsilon 0.06	Reward 1603.0
Episode 110	Step 114534	Time 1885.23	Epsilon 0.06	Reward 2053.0
Episode 111	Step 114782	Time 1889.10	Epsilon 0.06	Reward 1196.0
Episode 112	Step 115808	Time 1904.63	Epsilon 0.06	Reward 2472.0
Episode 113	Step 115954	Time 1906.95	Epsilon 0.06	Reward 1065.0
Episode 114	Step 116371	Time 1916.54	Epsilon 0.05	Reward 1832.0
Episode 115	Step 117774	Time 1937.74	Epsilon 0.05	Reward 1838.0
Episode 116	Step 118161	Time 1946.83	Epsilon 0.05	Reward 1672.0
Episode 117	Step 118363	Time 1949.92	Epsilon 0.05	Reward 1472.0
Episode 118	Step 120744	Time 1988.82	Epsilon 0.05	Reward 1434.0
Episode 119	Step 121410	Time 1998.74	Epsilon 0.05	Reward 1569.0
Episode 120	Step 123009	Time 2026.26	Epsilon 0.05	Reward 1561.0
Episode 121	Step 125402	Time 2065.33	Epsilon 0.04	Reward 1980.0
Episode 122	Step 125545	Time 2067.53	Epsilon 0.04	Reward 1087.0
Episode 123	Step 129841	Time 2138.25	Epsilon 0.04	Reward 1593.0
Episode 124	Step 130232	Time 2144.16	Epsilon 0.04	Reward 1455.0
Episode 125	Step 130899	Time 2154.67	Epsilon 0.04	Reward 1775.0
Episode 126	Step 132499	Time 2181.54	Epsilon 0.04	Reward 1990.0
Episode 127	Step 132930	Time 2188.45	Epsilon 0.04	Reward 1804.0
Episode 128	Step 133960	Time 2207.32	Epsilon 0.04	Reward 1938.0
Episode 129	Step 134154	Time 2210.23	Epsilon 0.04	Reward 1059.0
Episode 130	Step 135781	Time 2238.37	Epsilon 0.03	Reward 1638.0
